GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
"4.  Land use, land-use change and forestry  (4)",-5653.65133759,5.48860121520162,0.08958574395337,,,,Summary1.As2,GREECE,2021,Sector
5.  Waste,3.31567126502337,199.19712567756636,1.02398922176331,,,,Summary1.As2,GREECE,2021,Sector
International bunkers,10580.5063531098,0.68354654,0.86475364,,,,Summary1.As3,GREECE,1990,Sector
CO2 emissions from biomass,4016.561882666677,,,,,,Summary1.As3,GREECE,1990,Sector
International bunkers,9569.438579258,0.6132318,0.84226728,,,,Summary1.As3,GREECE,1991,Sector
CO2 emissions from biomass,4033.2151860000095,,,,,,Summary1.As3,GREECE,1991,Sector
International bunkers,10762.4535486744,0.70463432,1.03520976,,,,Summary1.As3,GREECE,1992,Sector
CO2 emissions from biomass,4040.843473333344,,,,,,Summary1.As3,GREECE,1992,Sector
International bunkers,12332.4039930952,0.82481176,1.15192912,,,,Summary1.As3,GREECE,1993,Sector
CO2 emissions from biomass,4044.4964560000094,,,,,,Summary1.As3,GREECE,1993,Sector
International bunkers,13393.2946611438,0.87021434,1.27338956,,,,Summary1.As3,GREECE,1994,Sector
CO2 emissions from biomass,4018.38837400001,,,,,,Summary1.As3,GREECE,1994,Sector
International bunkers,14004.4045593062,0.92095586,1.47367708,,,,Summary1.As3,GREECE,1995,Sector
CO2 emissions from biomass,4035.041677333343,,,,,,Summary1.As3,GREECE,1995,Sector
International bunkers,12530.322023353,0.8217075,1.21986532,,,,Summary1.As3,GREECE,1996,Sector
CO2 emissions from biomass,4083.6048586666775,,,,,,Summary1.As3,GREECE,1996,Sector
International bunkers,12475.745257281402,0.82481882,1.21482124,,,,Summary1.As3,GREECE,1997,Sector
CO2 emissions from biomass,4096.175416666677,,,,,,Summary1.As3,GREECE,1997,Sector
International bunkers,13767.296736859602,0.93085788,1.22969224,,,,Summary1.As3,GREECE,1998,Sector
CO2 emissions from biomass,4081.993248666676,,,,,,Summary1.As3,GREECE,1998,Sector
International bunkers,12829.2319936888,0.82508584,1.14776816,,,,Summary1.As3,GREECE,1999,Sector
CO2 emissions from biomass,4097.4276980000095,,,,,,Summary1.As3,GREECE,1999,Sector
International bunkers,14018.4808736748,0.95764004,1.22785144,,,,Summary1.As3,GREECE,2000,Sector
CO2 emissions from biomass,4248.9560446666765,,,,,,Summary1.As3,GREECE,2000,Sector
International bunkers,13513.653178643,0.9447761,1.06042444,,,,Summary1.As3,GREECE,2001,Sector
CO2 emissions from biomass,4288.778251333343,,,,,,Summary1.As3,GREECE,2001,Sector
International bunkers,12341.995570316802,0.84759104,0.95790112,,,,Summary1.As3,GREECE,2002,Sector
CO2 emissions from biomass,4368.532046666677,,,,,,Summary1.As3,GREECE,2002,Sector
International bunkers,13304.1917427614,0.87640842,0.92443116,,,,Summary1.As3,GREECE,2003,Sector
CO2 emissions from biomass,4153.538783333344,,,,,,Summary1.As3,GREECE,2003,Sector
International bunkers,13474.1901118166,0.88690738,0.89776572,,,,Summary1.As3,GREECE,2004,Sector
CO2 emissions from biomass,4196.298227333334,,,,,,Summary1.As3,GREECE,2004,Sector
International bunkers,11815.091172747534,0.79561491300275,0.75058789201099,,,,Summary1.As3,GREECE,2005,Sector
CO2 emissions from biomass,4380.799417333337,,,,,,Summary1.As3,GREECE,2005,Sector
International bunkers,12727.534853271804,0.86070440454175,0.790448218167,,,,Summary1.As3,GREECE,2006,Sector
CO2 emissions from biomass,4403.942989264004,,,,,,Summary1.As3,GREECE,2006,Sector
International bunkers,13103.794259959694,0.88343283271255,0.7621750508502,,,,Summary1.As3,GREECE,2007,Sector
CO2 emissions from biomass,4802.394136545333,,,,,,Summary1.As3,GREECE,2007,Sector
International bunkers,12862.320813427195,0.8672337819797,0.72624404791882,,,,Summary1.As3,GREECE,2008,Sector
CO2 emissions from biomass,4273.151941426664,,,,,,Summary1.As3,GREECE,2008,Sector
International bunkers,11147.825591141613,0.73416187549396,0.65776698197585,,,,Summary1.As3,GREECE,2009,Sector
CO2 emissions from biomass,3944.6848346666666,,,,,,Summary1.As3,GREECE,2009,Sector
International bunkers,11373.019802536215,0.76225392959868,0.69316739839471,,,,Summary1.As3,GREECE,2010,Sector
CO2 emissions from biomass,4190.400251263024,,,,,,Summary1.As3,GREECE,2010,Sector
International bunkers,11652.065730318447,0.78244801548645,0.6567534619458,,,,Summary1.As3,GREECE,2011,Sector
CO2 emissions from biomass,5142.300862408258,,,,,,Summary1.As3,GREECE,2011,Sector
International bunkers,9727.865852252991,0.64013121900685,0.5625043960274,,,,Summary1.As3,GREECE,2012,Sector
CO2 emissions from biomass,5708.363636619093,,,,,,Summary1.As3,GREECE,2012,Sector
International bunkers,9382.755217851543,0.60348407836209,0.57570239344836,,,,Summary1.As3,GREECE,2013,Sector
CO2 emissions from biomass,4710.179642,,,,,,Summary1.As3,GREECE,2013,Sector
International bunkers,8878.268754086825,0.52873922513329,0.53791050053317,,,,Summary1.As3,GREECE,2014,Sector
CO2 emissions from biomass,4760.543601918933,,,,,,Summary1.As3,GREECE,2014,Sector
International bunkers,8657.30305619464,0.50095008235742,0.5796827294297,,,,Summary1.As3,GREECE,2015,Sector
CO2 emissions from biomass,5202.19791776329,,,,,,Summary1.As3,GREECE,2015,Sector
International bunkers,8664.83052981754,0.482307,0.58874888,,,,Summary1.As3,GREECE,2016,Sector
CO2 emissions from biomass,4548.769499158191,,,,,,Summary1.As3,GREECE,2016,Sector
International bunkers,10387.72376546275,0.60480571593303,0.66527951669214,,,,Summary1.As3,GREECE,2017,Sector
CO2 emissions from biomass,4742.725990680672,,,,,,Summary1.As3,GREECE,2017,Sector
International bunkers,10982.009774976,0.62499205516,0.66216068776,,,,Summary1.As3,GREECE,2018,Sector
CO2 emissions from biomass,4679.578086816308,,,,,,Summary1.As3,GREECE,2018,Sector
International bunkers,12210.995649465009,0.71691451769834,0.76356508998791,,,,Summary1.As3,GREECE,2019,Sector
CO2 emissions from biomass,4685.907303473499,,,,,,Summary1.As3,GREECE,2019,Sector
International bunkers,6661.29480330253,0.44581850256186,0.56776118135908,,,,Summary1.As3,GREECE,2020,Sector
CO2 emissions from biomass,4603.373117437459,,,,,,Summary1.As3,GREECE,2020,Sector
International bunkers,8436.398456751183,0.50159706271913,0.66369116997325,,,,Summary1.As3,GREECE,2021,Sector
CO2 emissions from biomass,4816.217604129453,,,,,,Summary1.As3,GREECE,2021,Sector
