GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
D.  Non-energy products from fuels and solvent use ,17.75852209348595,,,,,Summary1.As1,LUXEMBOURG,2002,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,37.84290561662344,,Summary1.As1,LUXEMBOURG,2002,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.01964644710968,,0.0001395093809,Summary1.As1,LUXEMBOURG,2002,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),9754.823093305384,,,,,Summary1.As1,LUXEMBOURG,2003,Subsector,1. Energy
                                           Sectoral approach(2),9821.496439987695,0.74476731825883,0.17727171550345,,,Summary1.As1,LUXEMBOURG,2003,Subsector,1. Energy
1.  Energy industries,1029.635039764319,0.06253487161652,0.0077750229562,,,Summary1.As1,LUXEMBOURG,2003,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1259.103820486728,0.05955414723644,0.0486933100617,,,Summary1.As1,LUXEMBOURG,2003,Subsector,1. Energy
3.  Transport,5860.84994463746,0.21318866449498,0.10079187504877,,,Summary1.As1,LUXEMBOURG,2003,Subsector,1. Energy
4.  Other sectors,1668.6442873948083,0.40924494810684,0.01996023307668,,,Summary1.As1,LUXEMBOURG,2003,Subsector,1. Energy
5.  Other,3.26334770438313,0.00024468680405,5.12743601e-05,,,Summary1.As1,LUXEMBOURG,2003,Subsector,1. Energy
B. Fugitive emissions from fuels,0.06531772739571,1.95364491917595,,,,Summary1.As1,LUXEMBOURG,2003,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.06531772739571,1.95364491917595,,,,Summary1.As1,LUXEMBOURG,2003,Subsector,1. Energy
A.  Mineral industry,449.7513065534108,,,,,Summary1.As1,LUXEMBOURG,2003,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,15.23831750414747,,,,,Summary1.As1,LUXEMBOURG,2003,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,38.08555100030627,,Summary1.As1,LUXEMBOURG,2003,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.01910972634939,,0.00016507415783,Summary1.As1,LUXEMBOURG,2003,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),11123.082554213284,,,,,Summary1.As1,LUXEMBOURG,2004,Subsector,1. Energy
                                           Sectoral approach(2),11134.395399782394,0.76706509912312,0.18053613567212,,,Summary1.As1,LUXEMBOURG,2004,Subsector,1. Energy
1.  Energy industries,1251.2912702501983,0.06941867889845,0.00856733164973,,,Summary1.As1,LUXEMBOURG,2004,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1348.5546363082628,0.06567442482242,0.0488625394888,,,Summary1.As1,LUXEMBOURG,2004,Subsector,1. Energy
3.  Transport,6819.081764777076,0.20749890180479,0.10261441669145,,,Summary1.As1,LUXEMBOURG,2004,Subsector,1. Energy
4.  Other sectors,1715.3476990343188,0.4244695437786,0.02044839477864,,,Summary1.As1,LUXEMBOURG,2004,Subsector,1. Energy
5.  Other,0.12002941253742,3.54981886e-06,4.34530635e-05,,,Summary1.As1,LUXEMBOURG,2004,Subsector,1. Energy
B. Fugitive emissions from fuels,0.07251824389129,2.16811512177138,,,,Summary1.As1,LUXEMBOURG,2004,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.07251824389129,2.16811512177138,,,,Summary1.As1,LUXEMBOURG,2004,Subsector,1. Energy
A.  Mineral industry,489.32409974393136,,,,,Summary1.As1,LUXEMBOURG,2004,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,17.81357380316913,,,,,Summary1.As1,LUXEMBOURG,2004,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,38.26481734367285,,Summary1.As1,LUXEMBOURG,2004,Subsector,2.  Industrial processes and product use
